timestamp,lat,lon,ax,ay,az,gx,gy,gz,event
2025-02-15 09:00:00,19.08617,72.88283,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:01:00,19.08633,72.88296,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:02:00,19.08649,72.88310,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:03:00,19.08666,72.88323,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:04:00,19.08682,72.88336,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:05:00,19.08699,72.88349,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:06:00,19.08715,72.88362,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:07:00,19.08732,72.88376,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:08:00,19.08748,72.88389,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:09:00,19.08765,72.88402,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:10:00,19.08781,72.88415,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:11:00,19.08798,72.88428,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:12:00,19.08814,72.88442,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:13:00,19.08831,72.88455,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:14:00,19.08847,72.88468,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:15:00,19.08864,72.88481,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:16:00,19.08880,72.88494,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:17:00,19.08897,72.88508,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:18:00,19.08913,72.88521,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:19:00,19.08930,72.88534,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:20:00,19.08946,72.88547,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:21:00,19.08963,72.88560,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:22:00,19.08979,72.88574,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:23:00,19.08996,72.88587,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:24:00,19.09012,72.88600,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:25:00,19.09029,72.88613,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:26:00,19.09045,72.88626,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:27:00,19.09062,72.88640,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:28:00,19.09078,72.88653,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:29:00,19.09095,72.88666,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:30:00,19.09111,72.88679,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:31:00,19.09128,72.88692,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:32:00,19.09144,72.88706,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:33:00,19.09161,72.88719,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:34:00,19.09177,72.88732,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:35:00,19.09194,72.88745,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:36:00,19.09210,72.88758,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:37:00,19.09227,72.88772,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:38:00,19.09243,72.88785,0.13,0.11,1.0,1.32,1.1,0.66,-
2025-02-15 09:39:00,19.09260,72.88798,0.13,0.11,1.0,1.32,1.1,0.66,-
